,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
0,8,305,0,2,7,3,17,34,2,1,0,8,195000
1,2,108,0,4,0,3,6,74,2,1,0,4,965000
2,3,281,0,2,2,3,6,39,1,2,0,4,575000
3,31,234,0,7,6,6,21,92,2,3,0,4,1600000
4,13,11,0,1,7,31,7,34,1,1,1,7,580000
5,3,267,0,1,7,3,18,23,1,1,0,4,325000
6,24,262,0,2,1,3,4,44,1,2,0,4,420000
7,8,70,0,4,0,14,12,67,2,1,0,4,245000
8,4,30,0,4,4,13,9,64,1,1,1,8,1610000
9,21,294,0,2,7,3,16,26,1,1,0,4,365000
10,13,190,0,7,6,4,21,112,3,3,0,4,435000
11,13,53,0,2,3,4,9,61,1,1,0,4,375000
12,14,204,0,2,6,3,4,53,1,1,0,4,625000
13,7,42,0,2,1,14,3,74,1,1,1,7,1600000
14,3,281,0,2,0,4,6,39,1,1,0,4,675000
15,24,177,0,2,7,3,4,34,1,0,0,4,315000
16,4,269,0,1,4,4,16,18,1,1,0,4,650000
17,13,202,0,2,3,4,4,64,1,1,0,4,285000
18,11,180,0,4,4,3,4,81,1,2,1,4,600000
19,8,70,0,2,3,6,9,61,2,3,0,4,365000
20,8,57,0,2,0,14,3,42,2,1,0,7,300000
21,8,245,0,2,0,5,2,66,1,1,0,4,575000
22,32,85,0,2,7,4,4,44,1,0,0,4,525000
23,8,70,0,4,0,14,13,67,1,1,0,4,259000
24,13,70,0,2,5,9,12,39,1,1,0,4,539000
25,24,175,0,2,0,3,18,64,1,1,0,4,258000
26,13,120,0,2,3,5,16,49,2,2,0,8,119500
27,8,48,0,7,2,13,3,116,3,2,1,4,1350000
28,30,102,0,2,4,3,6,30,1,1,0,4,675000
29,2,108,0,4,7,3,16,67,1,2,0,4,550000
30,15,295,0,4,4,4,4,70,1,1,0,4,770000
31,4,269,0,2,6,4,18,44,1,1,0,4,1125000
32,32,271,0,2,7,12,9,44,1,1,0,7,745000
33,8,245,0,1,0,5,16,30,1,1,0,4,239500
34,13,206,0,2,3,5,4,53,1,1,0,4,193000
35,33,185,0,2,0,3,4,18,1,1,0,4,750000
36,21,29,0,4,2,8,13,68,1,1,1,7,1040000
37,21,29,0,2,7,21,9,71,2,2,1,7,1420000
38,14,296,0,2,4,4,4,34,1,1,0,4,625000
39,3,304,0,2,4,4,4,30,1,1,0,4,330000
40,16,138,0,2,0,17,12,24,1,1,1,7,875000
41,13,262,0,4,1,4,4,79,1,1,0,4,409000
42,13,53,0,4,0,8,11,67,1,1,0,4,399000
43,18,2,0,4,4,11,11,61,1,1,0,7,890000
44,13,33,0,2,6,5,16,67,1,1,0,4,190000
45,13,202,0,2,0,4,4,53,1,1,0,4,315000
46,24,90,0,4,1,2,2,61,2,2,0,4,545000
47,8,70,0,4,1,4,6,83,2,2,0,4,569000
48,8,70,0,1,1,12,3,28,1,1,0,4,399000
49,8,70,0,2,1,4,6,57,2,2,0,4,459000
50,8,70,0,2,1,13,9,79,2,2,0,4,619000
51,13,172,0,4,3,5,6,67,2,1,0,4,240000
52,22,22,0,4,4,3,4,74,2,2,0,4,829000
53,23,242,0,2,0,7,11,34,1,1,0,4,523000
54,28,3,0,2,2,4,18,39,1,1,0,4,349000
55,24,79,0,4,6,7,11,85,2,2,0,7,1025000
56,28,3,0,2,0,0,18,34,1,1,0,4,460000
57,16,52,0,4,2,4,17,53,1,1,0,4,295000
58,18,2,0,4,4,9,13,74,1,1,0,8,1570000
59,3,220,0,4,4,5,1,67,1,1,0,4,575000
60,7,23,0,4,0,2,2,64,1,1,0,4,520000
61,16,174,0,2,4,4,10,44,1,1,0,4,370000
62,13,49,0,4,0,4,0,64,1,1,0,4,299000
63,3,281,0,4,7,3,6,67,2,1,0,4,789000
64,13,197,0,2,0,4,4,44,1,1,0,4,289000
65,13,202,0,2,0,4,4,44,1,1,0,4,275000
66,13,131,0,4,6,4,4,77,1,1,0,8,419000
67,13,197,0,2,0,4,4,53,1,1,0,4,335000
68,13,190,0,2,0,4,4,44,1,1,0,4,285000
69,13,282,0,4,0,4,4,77,2,1,0,4,399000
70,13,299,0,2,5,19,11,53,1,1,0,4,359000
71,13,282,0,2,0,4,4,53,1,1,0,4,289000
72,8,245,0,2,0,3,4,49,1,1,0,4,439000
73,16,52,0,2,0,4,2,30,1,1,0,4,650000
74,28,3,0,2,6,4,16,49,1,1,0,4,275000
75,7,23,0,2,0,3,18,34,1,1,0,4,340000
76,14,118,0,2,7,4,2,34,1,1,0,4,490000
77,4,31,0,1,0,16,10,37,1,1,1,7,1450000
78,13,214,0,2,3,4,18,53,1,1,0,4,275000
79,13,206,0,2,3,7,2,53,1,1,0,4,225000
80,24,207,0,4,5,3,4,70,1,2,0,4,435000
81,13,70,0,2,3,4,2,53,1,1,0,4,180000
82,13,170,0,1,0,10,10,8,1,1,1,4,265000
83,8,70,0,4,0,14,11,67,1,2,0,4,239000
84,13,282,0,7,7,3,6,110,2,1,0,4,569000
85,13,214,0,7,7,3,6,101,2,1,0,4,430000
86,31,179,0,4,7,3,4,67,2,1,0,4,647500
87,24,262,0,2,6,3,4,34,1,1,0,4,360000
88,3,304,0,4,2,4,21,89,2,2,0,4,995000
89,13,267,0,4,0,16,3,81,1,0,1,7,350000
90,3,220,0,2,0,4,18,34,1,1,0,4,589000
91,2,24,0,8,7,2,21,105,2,1,0,4,850000
92,6,47,0,2,4,6,10,61,1,1,0,4,275000
93,13,120,0,2,1,4,2,53,1,1,0,4,170000
94,8,57,0,4,0,14,11,67,1,2,0,4,240000
95,13,206,0,4,3,4,2,67,2,1,0,4,255000
96,8,70,0,2,0,20,14,57,2,1,0,4,259000
97,13,292,0,2,0,3,4,44,1,2,0,4,335000
98,13,120,0,2,0,5,16,39,1,1,0,4,219000
99,2,188,0,4,2,3,18,67,1,1,0,4,430000
100,24,197,0,6,7,3,21,87,2,1,0,4,500000
101,3,267,0,2,4,3,9,44,1,1,0,4,325000
102,7,116,0,2,3,3,16,30,1,1,0,4,280000
103,32,299,0,6,7,4,21,80,2,3,0,4,830000
104,23,119,0,2,2,4,18,34,1,1,0,4,280000
105,18,173,0,2,0,8,12,39,2,1,0,8,1075000
106,13,299,0,4,7,4,1,70,1,1,0,4,385000
107,8,8,0,4,6,3,4,79,2,1,0,4,797500
108,8,48,0,4,2,13,12,87,2,1,0,4,970000
109,32,159,0,4,2,25,3,82,2,2,0,4,1450000
110,32,191,0,4,2,7,2,70,2,3,0,4,700000
111,7,42,0,4,3,4,18,92,1,1,0,4,835000
112,13,257,0,2,0,17,12,49,1,1,1,4,580000
113,11,181,0,6,7,2,20,115,2,2,0,4,1350000
114,3,267,0,2,0,3,6,33,1,1,0,4,580000
115,8,245,0,4,3,4,9,67,2,1,0,4,300000
116,3,267,0,6,0,3,9,81,2,2,0,4,780000
117,8,70,0,4,1,7,6,67,1,1,0,4,327000
118,32,218,0,2,5,12,14,23,1,1,0,7,830000
119,13,267,0,4,3,15,9,89,2,1,0,7,990000
120,8,143,0,4,0,6,10,67,1,2,0,4,240000
121,13,262,0,4,7,3,9,70,1,1,0,4,395000
122,7,42,0,4,7,7,18,81,2,1,0,4,850000
123,25,166,0,1,7,28,13,23,1,1,1,7,1500000
124,13,286,0,1,7,6,10,14,1,1,1,7,310000
125,3,220,0,4,2,4,18,61,1,1,0,4,560000
126,24,262,0,2,0,5,4,39,1,2,0,4,400000
127,24,253,0,2,5,3,4,44,1,1,0,4,379000
128,13,90,0,2,6,5,2,49,1,1,0,4,330000
129,13,120,0,2,3,5,2,53,1,1,0,4,379000
130,13,200,0,2,3,5,18,44,1,1,0,4,329000
131,13,53,0,1,7,9,9,20,1,1,1,4,345000
132,13,120,0,2,3,4,10,53,1,1,0,4,369000
133,18,205,0,2,4,4,9,34,1,1,0,4,425000
134,13,200,0,1,7,13,6,18,1,1,1,7,350000
135,13,120,0,4,0,5,2,77,1,1,0,4,562000
136,13,53,0,2,0,4,6,53,1,1,0,4,259000
137,13,286,0,4,0,4,4,83,1,1,0,4,447000
138,13,254,0,4,3,4,9,79,1,1,0,4,379000
139,13,202,0,1,0,13,6,34,1,1,1,7,280000
140,13,257,0,4,0,4,6,77,1,1,0,4,485000
141,21,29,0,2,2,10,3,29,1,2,1,4,740000
142,7,144,0,2,7,24,5,46,1,1,1,7,685000
143,32,27,0,1,7,2,16,8,1,1,0,4,235000
144,26,251,0,2,7,4,10,49,1,1,0,4,545000
145,8,70,0,2,1,4,4,53,2,1,0,4,299000
146,8,70,0,2,1,4,6,57,2,1,0,4,469000
147,4,209,0,2,4,4,9,36,1,1,0,4,448000
148,24,90,0,4,5,2,2,74,1,1,0,4,450000
149,28,3,0,2,5,4,6,39,1,1,0,4,570000
150,3,252,0,2,7,3,9,26,1,1,0,4,465000
151,29,201,0,2,0,2,16,49,2,1,0,4,1250000
152,23,119,0,4,4,4,2,61,1,1,0,4,357500
153,13,154,0,1,1,23,3,31,1,1,0,7,425000
154,13,40,0,2,2,8,9,76,2,1,0,7,1100000
155,6,148,0,2,0,12,9,34,1,1,0,4,720000
156,31,36,0,12,0,4,10,108,2,1,0,4,865000
157,12,58,0,4,4,4,9,70,1,1,0,4,457000
158,2,72,0,2,4,4,18,53,1,1,0,4,250000
159,3,219,0,7,0,3,9,95,2,1,0,4,1049000
160,3,252,0,2,4,3,2,44,1,1,0,4,295000
161,3,267,0,1,7,4,18,23,1,1,0,4,239000
162,3,267,0,1,7,4,18,23,1,1,0,4,239000
163,8,143,0,4,0,5,2,74,2,1,0,4,729000
164,5,142,0,2,4,3,9,64,1,1,0,4,275000
165,29,37,0,2,0,10,11,44,2,2,0,7,550000
166,3,267,0,4,0,3,6,67,1,1,0,4,800000
167,3,281,0,2,4,4,16,34,1,1,0,4,258000
168,0,285,0,4,0,4,2,57,1,2,0,4,750000
169,28,162,0,2,7,4,16,30,1,1,0,4,220000
170,6,110,0,4,7,2,6,67,1,1,0,4,530000
171,8,143,0,2,0,3,2,93,2,1,0,4,1250000
172,23,230,0,1,0,9,16,18,1,1,1,7,345000
173,12,71,0,2,4,4,10,64,1,2,0,4,465000
174,31,36,0,11,0,4,2,103,3,1,0,4,755000
175,21,70,0,6,4,3,6,106,2,1,0,4,550000
176,3,219,0,6,0,3,9,87,2,1,0,4,1200000
177,21,171,0,3,5,3,6,79,3,1,0,4,565000
178,3,219,0,2,0,3,16,23,1,1,0,4,365000
179,21,29,0,2,4,12,9,34,1,1,1,7,600000
180,19,109,0,2,0,17,3,53,1,1,0,7,1250000
181,28,162,0,2,7,4,2,39,1,1,0,4,525000
182,6,0,0,2,4,3,4,64,1,1,0,0,325000
183,28,162,0,2,0,4,4,53,1,1,0,4,560000
184,28,162,0,1,0,4,9,34,0,1,0,4,380000
185,28,162,0,7,0,4,21,99,2,2,0,4,830000
186,18,64,0,4,4,3,6,70,1,2,0,4,1350000
187,32,133,0,2,4,3,6,39,1,2,0,4,359500
188,28,262,0,2,7,4,16,34,2,1,0,4,319000
189,24,12,0,4,0,2,22,74,1,1,0,4,520000
190,8,8,0,4,7,11,10,92,2,2,1,4,1450000
191,8,8,0,4,7,11,9,92,2,2,1,4,1450000
192,31,36,0,2,6,5,2,26,1,2,0,4,303000
193,8,70,0,2,6,7,6,70,2,1,0,8,469000
194,5,187,0,5,7,4,10,95,2,1,0,4,1200000
195,5,142,0,2,2,4,18,39,1,1,0,4,595000
196,21,171,0,2,2,3,9,70,2,1,0,4,265000
197,3,219,0,2,6,4,18,27,1,1,0,4,530000
198,1,300,0,4,2,2,18,74,2,2,0,4,665000
199,31,36,0,2,0,6,10,39,1,1,0,4,429000
200,24,90,0,6,0,2,21,79,2,1,0,4,560000
201,3,219,0,4,0,3,6,70,1,1,0,4,785000
202,3,219,0,2,0,3,18,23,1,1,0,4,440000
203,3,219,0,2,4,4,16,23,1,1,0,4,235000
204,7,23,0,2,0,3,4,44,1,1,0,4,525000
205,7,116,0,7,0,3,21,87,2,2,0,4,835000
206,19,131,0,2,0,14,6,49,1,0,0,7,630000
207,24,253,0,2,3,3,4,53,1,1,0,4,378500
208,31,70,0,4,7,8,6,84,2,1,0,4,740000
209,32,189,0,5,6,3,9,83,3,1,0,4,1490000
210,13,200,0,1,0,8,11,26,1,1,0,8,450000
211,7,116,0,2,3,3,16,26,1,1,0,4,260000
212,16,131,0,2,0,2,18,34,1,1,0,10,500000
213,21,171,0,4,2,6,10,74,1,1,0,4,290000
214,3,267,0,2,5,4,2,39,1,1,0,4,630000
215,3,95,0,2,4,2,6,34,1,1,0,4,345000
216,3,267,0,2,4,4,4,34,1,1,0,4,290000
217,3,267,0,2,4,4,16,30,1,1,0,4,155000
218,3,219,0,4,0,4,10,61,2,1,0,4,960000
219,3,219,0,1,4,4,18,11,1,1,0,4,255000
220,14,76,0,6,4,2,2,92,1,1,0,4,1050000
221,31,70,0,2,7,3,9,34,2,2,0,4,450000
222,21,29,0,2,2,13,3,53,2,2,0,4,1560000
223,3,281,0,2,6,3,6,26,1,1,0,4,520000
224,7,144,0,2,7,12,0,30,1,1,0,7,529900
225,31,36,0,2,6,3,2,34,2,1,0,4,425000
226,32,82,0,4,2,4,0,64,2,2,0,4,765000
227,7,116,0,7,0,2,6,101,2,1,0,4,750000
228,21,33,0,2,2,6,6,44,1,1,0,4,234000
229,5,142,0,2,7,4,16,30,1,1,0,4,365000
230,5,142,0,2,7,4,18,34,1,1,0,4,575000
231,33,70,0,2,4,3,4,26,1,1,0,4,579000
232,13,11,0,1,2,28,3,9,1,1,0,7,370000
233,16,301,0,1,0,4,17,18,1,1,0,4,250000
234,16,141,0,2,7,4,18,26,1,1,0,4,255000
235,31,17,0,2,0,3,4,44,2,2,0,4,475000
236,13,286,0,2,6,5,4,44,1,1,0,4,335000
237,3,219,0,2,7,4,18,61,1,1,0,4,829000
238,21,33,0,2,7,3,4,39,2,2,0,4,435000
239,14,284,0,2,6,8,12,53,1,1,0,4,770000
240,18,89,0,4,1,11,11,57,2,1,0,7,1600000
241,13,53,0,2,0,4,6,53,1,2,0,4,257000
242,21,171,0,2,2,6,10,30,1,1,0,4,195000
243,21,29,0,4,4,16,3,61,1,1,1,7,810000
244,21,29,0,4,4,16,3,61,1,1,1,7,810000
245,18,81,0,2,0,9,12,34,1,1,0,7,1620000
246,13,262,0,2,7,4,4,39,1,1,0,4,290000
247,2,288,0,11,0,4,21,103,3,1,0,4,1400000
248,2,174,0,2,4,3,18,34,1,1,0,4,350000
249,2,69,0,5,7,3,21,81,2,1,0,4,680000
250,11,134,0,8,4,2,19,114,2,1,0,4,1100000
251,2,69,0,2,0,3,2,49,1,1,0,4,650000
252,2,69,0,2,0,3,18,26,1,1,0,4,550000
253,2,69,0,2,4,3,2,26,1,1,0,4,270000
254,2,69,0,2,2,3,18,18,1,1,0,4,225000
255,2,69,0,2,4,4,18,26,1,1,0,4,330000
256,2,288,0,4,0,4,2,67,2,1,0,4,800000
257,15,295,0,4,4,4,4,70,1,1,0,4,770000
258,5,152,0,4,4,4,2,61,1,1,0,4,530000
259,11,203,0,2,2,7,11,77,1,1,0,4,1120000
260,3,41,0,2,4,3,18,39,1,1,0,4,1000000
261,23,119,0,2,2,4,10,53,1,2,0,4,269500
262,31,70,0,2,0,3,2,44,2,2,0,4,440000
263,24,253,0,4,6,6,11,79,2,2,0,4,669000
264,21,29,0,4,2,5,18,79,1,2,0,7,1225000
265,8,70,0,2,0,4,4,61,1,2,0,4,320000
266,18,91,0,1,0,4,2,12,1,1,0,3,880000
267,10,87,0,1,0,4,18,7,1,1,0,3,730000
268,14,19,0,2,5,10,9,61,1,1,0,7,840000
269,10,56,0,1,0,4,18,12,1,1,0,3,850000
270,18,63,0,1,5,10,4,10,1,1,0,7,1550000
271,32,299,0,2,7,4,16,23,1,2,0,4,259000
272,31,174,0,2,0,5,6,32,1,1,0,4,445000
273,8,245,0,2,0,4,4,53,2,1,0,4,440000
274,18,196,0,2,4,4,1,34,1,1,0,4,800000
275,3,252,0,4,7,3,6,64,1,1,0,4,625000
276,3,220,0,2,6,4,16,32,1,1,0,4,250000
277,18,155,0,2,4,3,2,44,1,1,0,4,795000
278,18,208,0,7,4,1,4,102,2,2,0,4,1260000
279,12,90,0,1,6,3,16,14,1,1,0,4,170000
280,3,131,0,8,6,3,22,97,2,1,0,4,800000
281,32,82,0,5,2,4,21,93,2,1,0,4,915000
282,28,65,0,4,2,6,2,74,1,1,0,4,420000
283,8,70,0,2,0,4,4,61,2,3,0,4,315000
284,21,171,0,2,2,3,4,44,2,2,0,4,235000
285,21,29,0,2,4,13,13,44,1,2,1,7,680000
286,20,277,0,4,0,5,10,61,1,1,0,4,675000
287,25,34,0,1,7,28,10,25,1,1,0,7,1040000
288,11,117,0,7,4,1,4,114,3,1,1,4,1360000
289,20,277,0,2,0,6,6,53,1,1,0,4,565000
290,15,67,0,2,4,3,6,44,1,1,0,4,470000
291,14,19,0,4,7,4,4,57,2,1,0,4,775000
292,3,131,0,4,2,3,9,67,1,1,0,4,680000
293,29,248,0,6,0,3,9,83,2,1,0,4,765000
294,35,168,0,2,0,4,21,67,1,1,0,4,950000
295,25,149,0,2,4,3,4,67,1,1,0,4,925000
296,2,108,0,4,4,3,18,67,1,1,0,4,400000
297,12,58,0,4,0,13,11,86,2,1,0,4,995000
298,24,88,0,2,5,3,4,34,1,1,0,4,480000
299,18,6,0,4,0,4,2,61,2,2,0,4,1225000
300,21,235,0,1,5,11,10,11,1,0,1,7,665000
301,6,161,0,4,7,2,4,61,1,1,0,4,650000
302,31,234,0,1,1,3,18,23,1,1,0,4,230000
303,12,90,0,4,4,3,9,69,2,1,0,4,395000
304,5,142,0,2,0,4,16,30,1,1,0,4,395000
305,28,3,0,2,0,4,2,46,1,2,0,4,760000
306,24,253,0,2,0,5,10,49,2,1,0,4,459000
307,24,175,0,2,7,3,6,23,1,1,0,4,325000
308,32,82,0,2,2,3,6,39,2,2,0,4,545000
309,3,219,0,1,4,4,16,14,1,1,0,1,165000
310,19,263,0,2,7,7,10,34,1,1,0,4,499000
311,16,131,0,2,4,4,18,44,1,1,0,4,365000
312,21,33,0,4,2,4,10,67,2,2,0,4,300000
313,35,98,0,4,4,3,4,50,1,1,0,4,575000
314,13,40,0,2,1,20,10,32,1,1,0,4,680000
315,3,219,0,1,4,4,16,10,1,1,0,1,165000
316,32,82,0,4,2,4,6,57,2,1,0,4,695000
317,11,70,0,6,4,8,13,100,1,1,0,4,1150000
318,29,248,0,4,2,2,4,74,2,2,1,4,865000
319,35,60,0,4,4,3,9,67,1,1,0,4,680000
320,16,265,0,4,1,17,6,79,2,1,0,7,1025000
321,3,252,0,2,4,3,6,39,1,2,0,4,420000
322,16,135,0,2,0,4,16,39,1,1,0,4,440000
323,11,70,0,5,4,2,6,106,2,1,0,4,800000
324,31,17,0,4,0,3,2,74,2,2,0,4,620000
325,31,17,0,6,0,3,9,90,2,2,0,4,700000
326,15,13,0,2,4,4,18,16,1,1,0,4,390000
327,34,121,0,1,3,3,18,30,1,1,0,4,465000
328,11,186,0,4,2,4,10,74,1,1,0,4,440000
329,4,31,0,1,6,15,11,24,1,1,0,7,1400000
330,32,82,0,2,2,4,16,30,1,2,0,4,255000
331,18,155,0,4,4,9,2,70,2,2,0,8,890000
332,35,2,0,1,4,3,16,18,1,1,0,4,525000
333,11,203,0,4,0,4,2,80,2,2,0,4,650000
334,13,120,0,4,0,3,4,74,1,1,0,4,320000
335,13,26,0,2,0,4,18,44,1,1,0,4,145000
336,13,294,0,2,0,3,2,49,1,1,0,4,190000
337,3,267,0,2,2,3,18,23,1,1,0,4,240000
338,31,171,0,4,7,3,18,61,1,1,0,4,475000
339,0,25,0,4,6,4,18,57,2,1,0,4,290000
340,13,232,0,5,7,4,10,74,2,2,0,4,350000
341,35,168,0,2,1,5,4,32,1,1,0,4,700000
342,14,296,0,2,4,4,18,53,1,1,0,4,630000
343,21,29,0,4,2,15,3,74,1,2,1,4,1085000
344,16,265,0,1,7,3,18,18,1,1,0,4,260000
345,14,296,0,2,0,4,4,30,1,1,0,4,580000
346,28,65,0,2,2,4,16,39,1,1,0,4,195000
347,22,291,0,4,4,4,16,70,1,1,0,4,825000
348,33,185,0,2,4,3,6,26,1,1,0,4,405000
349,8,113,0,13,4,1,20,111,4,1,0,1,1550000
350,3,151,0,2,6,4,16,34,1,2,0,4,400000
351,31,125,0,4,7,3,22,79,1,1,0,4,415000
352,3,267,0,2,0,4,18,39,1,1,0,4,460000
353,4,269,0,2,4,4,18,34,1,1,0,4,500000
354,14,76,0,4,4,3,2,67,1,2,0,4,750000
355,21,29,0,1,6,24,10,9,1,1,0,8,475000
356,33,185,0,4,4,3,17,49,1,1,0,4,450000
357,3,151,0,2,2,2,21,66,2,3,0,4,490000
358,15,183,0,4,4,4,6,61,1,1,0,4,1350000
359,24,33,0,4,7,3,18,70,1,1,0,4,325000
360,28,65,0,2,2,4,4,49,1,1,0,4,465000
361,28,65,0,2,0,4,16,49,1,1,0,4,340000
362,28,240,0,2,6,12,3,53,1,1,0,4,875000
363,21,294,0,2,7,3,2,39,1,1,0,4,600000
364,14,284,0,2,0,6,6,30,1,1,0,4,750000
365,14,136,0,2,0,9,10,39,2,1,0,7,585000
366,28,240,0,7,0,4,21,95,2,2,0,4,825000
367,22,270,0,2,6,2,18,44,1,1,0,4,298000
368,22,270,0,2,7,3,2,34,1,1,0,4,495000
369,26,251,0,4,7,5,9,77,2,1,0,7,870000
370,26,251,0,4,4,5,6,70,1,1,0,4,365000
371,32,27,0,2,0,3,16,34,1,1,0,4,450000
372,27,7,0,2,6,6,2,34,1,1,0,7,545000
373,8,245,0,2,0,4,2,49,2,1,0,4,650000
374,13,267,0,2,6,4,9,44,1,1,0,4,353000
375,13,15,0,2,6,4,4,49,1,1,0,4,387500
376,23,10,0,2,7,4,10,34,1,1,0,4,328000
377,23,41,0,4,7,4,6,67,2,1,0,4,970000
378,29,195,0,2,7,3,2,30,1,1,0,4,330000
379,12,179,0,4,2,3,2,64,1,1,0,4,919000
380,16,301,0,7,7,2,6,97,2,2,0,4,850000
381,10,100,0,2,4,6,10,53,1,1,0,4,1250000
382,13,120,0,2,7,14,3,53,1,1,0,4,675000
383,8,8,0,2,7,11,10,77,2,1,0,4,925000
384,31,125,0,2,7,2,2,61,2,2,0,4,485000
385,17,130,0,4,4,4,4,70,1,1,0,4,750000
386,33,179,0,2,4,3,9,30,1,1,0,4,625000
387,22,291,0,4,7,4,6,61,1,1,0,4,1100000
388,3,304,0,6,5,4,10,95,1,1,0,0,1480000
389,16,250,0,2,2,2,6,44,1,1,0,4,440000
390,22,291,0,2,5,3,16,14,1,1,0,4,720000
391,23,283,0,2,1,9,2,49,1,1,1,4,570000
392,22,22,0,2,4,3,9,44,1,1,0,4,665000
393,13,267,0,4,0,21,4,75,2,2,1,7,1050000
394,8,245,0,2,1,5,4,53,1,1,0,4,192000
395,15,150,0,5,2,3,21,79,2,2,0,4,1200000
396,31,125,0,4,7,3,2,61,2,1,0,4,455000
397,2,188,0,1,1,5,10,30,1,1,0,4,145000
398,33,92,0,2,0,4,9,44,1,1,0,4,849000
399,2,288,0,4,4,3,2,53,1,1,0,4,535000
400,8,70,0,4,1,7,11,67,2,1,0,4,284000
401,23,194,0,2,7,3,18,30,1,2,0,4,240000
402,8,70,0,2,7,3,17,34,2,1,0,8,210000
403,23,106,0,2,0,4,10,34,1,1,0,4,385000
404,6,266,0,2,4,3,2,34,1,1,0,4,279000
405,31,179,0,7,0,4,9,95,2,2,0,4,989999
406,24,169,0,6,2,3,21,97,2,2,0,4,786000
407,33,41,0,4,4,3,6,77,1,1,1,8,835000
408,33,290,0,2,4,4,22,44,1,1,0,4,480000
409,8,8,0,4,1,11,2,79,2,1,0,4,1235000
410,23,156,0,2,6,6,16,53,2,1,0,7,975000
411,25,268,0,6,4,5,9,104,5,1,0,8,1600000
412,28,240,0,4,2,4,2,67,1,2,0,4,425000
413,22,68,0,1,4,10,18,44,1,1,0,4,410000
414,8,245,0,4,0,5,2,74,2,1,0,4,789000
415,24,5,0,14,6,9,11,6,1,1,0,10,325000
416,23,283,0,2,5,8,4,39,1,1,1,4,580000
417,13,120,0,2,5,24,5,53,2,1,0,4,559000
418,13,120,0,4,3,3,18,83,1,1,0,7,840000
419,13,120,0,2,7,3,18,49,1,1,0,4,215000
420,3,219,0,4,4,4,10,61,1,1,0,4,450000
421,18,2,0,4,4,8,12,80,1,1,0,8,1265000
422,3,267,0,2,7,3,4,30,1,1,0,4,465000
423,8,8,0,4,4,10,10,79,1,1,0,4,700000
424,3,267,0,1,7,3,18,23,1,1,0,4,325000
425,31,222,0,1,0,2,16,8,1,1,0,4,215000
426,2,24,0,2,4,3,2,44,1,0,0,4,340000
427,16,265,0,2,4,3,16,34,1,1,0,4,335000
428,8,245,0,4,0,6,10,67,1,1,0,4,248000
429,24,79,0,2,7,10,13,42,2,1,0,8,945000
430,23,156,0,2,0,6,9,120,1,1,0,4,750000
431,31,125,0,2,2,4,18,39,1,1,0,4,280000
